address,errorType,confidence,match_type,accuracy,layer,message
3552 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3552 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
2240 38TH ST E #2ND FL,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 2240 38TH ST E #2ND FL, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1709 ROLLINS AVE SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 1709 ROLLINS AVE SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.229243,44.98535]},""properties"":{""id"":""polyline:129382"",""gid"":""openstreetmap:street:polyline:129382"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129382"",""country_code"":""US"",""name"":""Southeast Rollins Avenue"",""street"":""Southeast Rollins Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.968,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Como"",""neighbourhood_gid"":""whosonfirst:neighbourhood:85872667"",""label"":""Southeast Rollins Avenue, Minneapolis, MN, USA""},""bbox"":[-93.231748,44.985214,-93.226929,44.985397]}]"
2106 FAIRMOUNT ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 2106 FAIRMOUNT ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1833 EM STATELY ST,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1833 EM STATELY ST, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1931 WEST BROADWAY #TRACT J,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1931 WEST BROADWAY #TRACT J, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
1037 26TH AVE SE,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 1037 26TH AVE SE, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.220781,44.971907]},""properties"":{""id"":""polyline:129186"",""gid"":""openstreetmap:street:polyline:129186"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:129186"",""country_code"":""US"",""name"":""Southeast 26th Avenue"",""street"":""Southeast 26th Avenue"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2295.932,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Prospect Park - East River Road"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525029"",""label"":""Southeast 26th Avenue, Minneapolis, MN, USA""},""bbox"":[-93.221557,44.97093,-93.220015,44.972888]}]"
3246 EDMUND BLVD,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 3246 EDMUND BLVD, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
3234 STINSON PKWY,noFullResults,0.8,fallback,centroid,street,"‼️ no full results for this address: 3234 STINSON PKWY, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.226921,45.005926]},""properties"":{""id"":""polyline:131496"",""gid"":""openstreetmap:street:polyline:131496"",""layer"":""street"",""source"":""openstreetmap"",""source_id"":""polyline:131496"",""country_code"":""US"",""name"":""Stinson Parkway"",""street"":""Stinson Parkway"",""confidence"":0.8,""match_type"":""fallback"",""distance"":2294.671,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""county_a"":""HE"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""neighbourhood"":""Northeast Park"",""neighbourhood_gid"":""whosonfirst:neighbourhood:420525005"",""label"":""Stinson Parkway, Minneapolis, MN, USA""},""bbox"":[-93.226932,45.005419,-93.226658,45.005993]}]"
1810 SKYLINE CV,noFullResults,0.6,fallback,centroid,locality,"‼️ no full results for this address: 1810 SKYLINE CV, [{""type"":""Feature"",""geometry"":{""type"":""Point"",""coordinates"":[-93.266563,44.96313]},""properties"":{""id"":""85969169"",""gid"":""whosonfirst:locality:85969169"",""layer"":""locality"",""source"":""whosonfirst"",""source_id"":""85969169"",""country_code"":""US"",""name"":""Minneapolis"",""confidence"":0.6,""match_type"":""fallback"",""distance"":2292.61,""accuracy"":""centroid"",""country"":""United States"",""country_gid"":""whosonfirst:country:85633793"",""country_a"":""USA"",""region"":""Minnesota"",""region_gid"":""whosonfirst:region:85688727"",""region_a"":""MN"",""county"":""Hennepin County"",""county_gid"":""whosonfirst:county:102087709"",""localadmin"":""Minneapolis"",""localadmin_gid"":""whosonfirst:localadmin:404511883"",""locality"":""Minneapolis"",""locality_gid"":""whosonfirst:locality:85969169"",""label"":""Minneapolis, MN, USA"",""addendum"":{""concordances"":{""dbp:id"":""Minneapolis"",""fb:id"":""en.minneapolis"",""fct:id"":""08c81220-8f76-11e1-848f-cfd5bf3ef515"",""fips:code"":""2743000"",""gn:id"":5037649,""gp:id"":2452078,""loc:id"":""n79003965"",""ne:id"":1159151219,""nyt:id"":""N28852304183000137271"",""qs_pg:id"":273682,""uscensus:geoid"":""2743000"",""wd:id"":""Q36091"",""wk:page"":""Minneapolis""}}},""bbox"":[-93.329108,44.890589,-93.194329,45.051246]}]"
